id,GEOGRAFICO
124,School
124,Temple
124,School
124,Temple
124,School
124,School
124,School
124,Sports Hub 
124,Sports Hub 
124,Sports Hub 
124,Sports Hub 
124,Sports Hub 
124,Sports Hub 
124,Sports Hub 
124,Sports Hub 
124,Sports Hub 
124,Sports Hub 
124,Sports Hub 
124,Sports Hub 
124,Sports Hub 
124,Sports Hub 
124,School
124,School
124,Sports Hub 
124,Sports Hub 
124,Sports Hub 
124,Sports Hub 
124,Sports Hub 
125,School
125,Temple
125,Temple
125,School
125,School
125,Temple
125,School
125,School
125,Mall
125,School
125,Mall
125,School
125,Temple
125,Medical Assistance Center
125,Temple
125,Temple
125,Temple
125,Temple
125,School
125,School
125,School
125,School
125,School
125,School
125,School
125,Square
125,Sports Hub 
125,Sports Hub 
125,Sports Hub 
125,Sports Hub 
125,Sports Hub 
125,Sports Hub 
125,School
125,Sports Hub 
125,Temple
125,Sports Hub 
125,Sports Hub 
125,Sports Hub 
125,Sports Hub 
125,Sports Hub 
125,Sports Hub 
126,Temple
126,School
126,School
126,School
126,School
126,School
126,School
126,School
126,School
126,School
126,School
126,School
126,School
126,Mall
126,School
126,School
126,Mall
126,School
126,School
126,Medical Assistance Center
126,School
126,Temple
126,Temple
126,School
126,Temple
126,Square
126,Sports Hub 
126,Sports Hub 
126,Sports Hub 
126,Sports Hub 
126,Sports Hub 
126,Sports Hub 
126,Sports Hub 
126,Sports Hub 
126,Sports Hub 
126,Sports Hub 
126,Sports Hub 
126,Sports Hub 
126,Sports Hub 
126,School
126,Sports Hub 
126,Sports Hub 
126,Sports Hub 
126,Square
126,Sports Hub 
126,Sports Hub 
126,Sports Hub 
126,Sports Hub 
126,School
126,Sports Hub 
126,Restriction of Passage to Pedestrians and/or Automobiles
126,Restriction of Passage to Pedestrians and/or Automobiles
126,Sports Hub 
127,Temple
127,Temple
127,Temple
127,School
127,School
127,Temple
127,Temple
127,Temple
127,Temple
127,Temple
127,School
127,School
127,School
127,School
127,School
127,School
127,School
127,Temple
127,Temple
127,School
127,Temple
127,Square
127,Square
127,School
127,Sports Hub 
127,Sports Hub 
127,Sports Hub 
127,Sports Hub 
127,Temple
127,Sports Hub 
128,School
128,School
128,Temple
128,Temple
128,Sports Hub 
136,Square
136,Square
136,Square
137,Temple
137,School
137,School
137,Temple
137,Temple
137,Temple
137,Square
137,Restriction of Passage to Pedestrians and/or Automobiles
138,Temple
138,School
138,Temple
138,Temple
138,School
138,Sports Hub 
138,Sports Hub 
138,Sports Hub 
138,Sports Hub 
138,Sports Hub 
138,Sports Hub 
138,Sports Hub 
138,Sports Hub 
138,Sports Hub 
138,Sports Hub 
138,Sports Hub 
138,Sports Hub 
138,Sports Hub 
138,Sports Hub 
138,Sports Hub 
138,Sports Hub 
138,Sports Hub 
138,Sports Hub 
138,Sports Hub 
138,Sports Hub 
138,Sports Hub 
138,Sports Hub 
138,Sports Hub 
138,Sports Hub 
138,Sports Hub 
138,Sports Hub 
138,Sports Hub 
138,Sports Hub 
138,Sports Hub 
138,Sports Hub 
138,Sports Hub 
138,Sports Hub 
138,Sports Hub 
138,Sports Hub 
138,Restriction of Passage to Pedestrians and/or Automobiles
138,Restriction of Passage to Pedestrians and/or Automobiles
138,Restriction of Passage to Pedestrians and/or Automobiles
138,Restriction of Passage to Pedestrians and/or Automobiles
138,Restriction of Passage to Pedestrians and/or Automobiles
138,Restriction of Passage to Pedestrians and/or Automobiles
138,Restriction of Passage to Pedestrians and/or Automobiles
138,Restriction of Passage to Pedestrians and/or Automobiles
138,Restriction of Passage to Pedestrians and/or Automobiles
138,Restriction of Passage to Pedestrians and/or Automobiles
138,Restriction of Passage to Pedestrians and/or Automobiles
138,Restriction of Passage to Pedestrians and/or Automobiles
138,Restriction of Passage to Pedestrians and/or Automobiles
138,Restriction of Passage to Pedestrians and/or Automobiles
138,Restriction of Passage to Pedestrians and/or Automobiles
138,Restriction of Passage to Pedestrians and/or Automobiles
138,Restriction of Passage to Pedestrians and/or Automobiles
138,Restriction of Passage to Pedestrians and/or Automobiles
138,Restriction of Passage to Pedestrians and/or Automobiles
138,Restriction of Passage to Pedestrians and/or Automobiles
138,Restriction of Passage to Pedestrians and/or Automobiles
138,Restriction of Passage to Pedestrians and/or Automobiles
138,Restriction of Passage to Pedestrians and/or Automobiles
138,Restriction of Passage to Pedestrians and/or Automobiles
138,Sports Hub 
138,Well
138,Sports Hub 
138,Sports Hub 
139,School
139,Temple
139,School
139,Sports Hub 
139,Sports Hub 
139,Sports Hub 
139,Sports Hub 
139,Sports Hub 
139,Sports Hub 
139,Sports Hub 
139,Sports Hub 
139,Sports Hub 
139,Sports Hub 
139,Sports Hub 
139,School
139,Sports Hub 
139,Sports Hub 
139,Restriction of Passage to Pedestrians and/or Automobiles
139,Restriction of Passage to Pedestrians and/or Automobiles
139,Restriction of Passage to Pedestrians and/or Automobiles
139,Restriction of Passage to Pedestrians and/or Automobiles
139,Restriction of Passage to Pedestrians and/or Automobiles
139,Sports Hub 
139,Sports Hub 
139,Sports Hub 
139,School
139,Sports Hub 
139,Sports Hub 
139,School
140,Temple
140,Square
140,Square
140,Temple
140,School
140,School
